"month","count","level_2","mean","median","p25","p75","p9","p91","stdDev","model","region","wateryear","source","cropname","include","num_days","crop_acft"
"APR",0,0,NA,NA,NA,NA,NA,NA,NA,"calsimetaw","Central",2015,"data/delta_regions/calsimetaw-Central-2015.geojson",NA,"no",30,NA
"APR",79164,1,41.8224824415138,42,42,43,41,43,2.53433385416446,"calsimetaw","Central",2015,"data/delta_regions/calsimetaw-Central-2015.geojson","Alfalfa","yes",30,7247.16060993571
"APR",207435,23,23.5757996480825,24,23,24,23,24,0.4942210167026,"calsimetaw","Central",2015,"data/delta_regions/calsimetaw-Central-2015.geojson","Corn","yes",30,10704.8063754967
"APR",7343,24,23.9211493939807,24,24,24,24,24,0.269505450686543,"calsimetaw","Central",2015,"data/delta_regions/calsimetaw-Central-2015.geojson","Rice","yes",30,384.490771245634
"APR",4883,108,25,25,25,25,25,25,0,"calsimetaw","Central",2015,"data/delta_regions/calsimetaw-Central-2015.geojson","Bush Berries","yes",30,267.212691498641
"APR",27835,109,33.897395365547,34,34,34,34,34,0.738068037772659,"calsimetaw","Central",2015,"data/delta_regions/calsimetaw-Central-2015.geojson","Vineyards","yes",30,2065.32262674977
"APR",8881,246,40,40,40,40,40,40,0,"calsimetaw","Central",2015,"data/delta_regions/calsimetaw-Central-2015.geojson","Potatoes","yes",30,777.592762875094
"APR",5495,277,23.4178343949045,23,23,24,23,24,0.493202608812314,"calsimetaw","Central",2015,"data/delta_regions/calsimetaw-Central-2015.geojson","Cucurbit","yes",30,281.672712305849
"APR",47003,278,23.4144416313852,23,23,24,23,24,0.49262538054794,"calsimetaw","Central",2015,"data/delta_regions/calsimetaw-Central-2015.geojson","Tomatoes","yes",30,2409.01626390446
"APR",11206,279,28.2043548099233,28,28,29,28,29,0.755846241924234,"calsimetaw","Central",2015,"data/delta_regions/calsimetaw-Central-2015.geojson","Truck Crops","yes",30,691.82640876246
"APR",40,403,28,28,28,28,28,28,0,"calsimetaw","Central",2015,"data/delta_regions/calsimetaw-Central-2015.geojson","Cherries","yes",30,2.4515929918368
"APR",301,409,34.6710963455149,35,34,35,34,35,0.469814900308029,"calsimetaw","Central",2015,"data/delta_regions/calsimetaw-Central-2015.geojson","Olives","yes",30,22.843593270365
"APR",0,412,NA,NA,NA,NA,NA,NA,NA,"calsimetaw","Central",2015,"data/delta_regions/calsimetaw-Central-2015.geojson","Pears","yes",30,NA
"APR",7,425,34,34,34,34,34,34,0,"calsimetaw","Central",2015,"data/delta_regions/calsimetaw-Central-2015.geojson","Citrus","yes",30,0.52096351076532
"APR",0,500,NA,NA,NA,NA,NA,NA,NA,"calsimetaw","Central",2015,"data/delta_regions/calsimetaw-Central-2015.geojson","Almonds","yes",30,NA
"APR",0,502,NA,NA,NA,NA,NA,NA,NA,"calsimetaw","Central",2015,"data/delta_regions/calsimetaw-Central-2015.geojson","Pistachios","yes",30,NA
"APR",4368,503,28,28,28,28,28,28,0,"calsimetaw","Central",2015,"data/delta_regions/calsimetaw-Central-2015.geojson","Walnuts","yes",30,267.713954708579
"APR",13972,800,43.8664471800744,44,44,44,43,45,0.556613829248933,"calsimetaw","Central",2015,"data/delta_regions/calsimetaw-Central-2015.geojson","Pasture","yes",30,1341.59486418103
"APR",7145,908,40.1872638208537,40,40,40,40,41,0.390123162928117,"calsimetaw","Central",2015,"data/delta_regions/calsimetaw-Central-2015.geojson","Turf","yes",30,628.522775437531
"APR",46187,913,27.992660272371,28,28,28,28,28,0.150813631305304,"calsimetaw","Central",2015,"data/delta_regions/calsimetaw-Central-2015.geojson","Semi-agricultural/ROW","yes",30,2830.05109318466
"APR",4779,914,28.0284578363674,28,28,28,28,28,0.166276841191773,"calsimetaw","Central",2015,"data/delta_regions/calsimetaw-Central-2015.geojson","Other Deciduous","yes",30,293.201766134425
"APR",43742,916,23.5562845777514,24,23,24,23,24,0.496821946281911,"calsimetaw","Central",2015,"data/delta_regions/calsimetaw-Central-2015.geojson","Fallow","yes",30,2255.46336356754
"APR",5263,2002,40.1103933117994,40,40,40,40,41,0.39828186145453,"calsimetaw","Central",2015,"data/delta_regions/calsimetaw-Central-2015.geojson","Floating Vegetation","no",30,462.083689437268
