"month","count","level_2","mean","median","p25","p75","p9","p91","stdDev","model","region","wateryear","source","cropname","include"
"APR",0,0,NA,NA,NA,NA,NA,NA,NA,"calsimetaw","dsa",2015,"data/dsa_etrf/calsimetaw-dsa-2015-etrf.geojson",NA,"no"
"APR",360170,1,0.896258681350966,0.933053395052017,0.912643587076508,0.93478260869572,0.912643587076508,0.93478260869572,0.111089013082204,"calsimetaw","dsa",2015,"data/dsa_etrf/calsimetaw-dsa-2015-etrf.geojson","Alfalfa","yes"
"APR",411960,23,0.514126568393783,0.511111111111047,0.5,0.5217391304348,0.5,0.533333333333371,0.0130223901685413,"calsimetaw","dsa",2015,"data/dsa_etrf/calsimetaw-dsa-2015-etrf.geojson","Corn","yes"
"APR",34395,24,0.509051338070866,0.5,0.5,0.521739130434801,0.5,0.521739130434801,0.0115718751571954,"calsimetaw","dsa",2015,"data/dsa_etrf/calsimetaw-dsa-2015-etrf.geojson","Rice","yes"
"APR",5373,108,0.54434904887653,0.543478260869565,0.543478260869565,0.543478260869565,0.543478260869565,0.555555555555556,0.00727432266420621,"calsimetaw","dsa",2015,"data/dsa_etrf/calsimetaw-dsa-2015-etrf.geojson","Bush Berries","yes"
"APR",166135,109,0.669120931872816,0.652173913043457,0.630434782608687,0.739130434782609,0.630434782608687,0.739130434782609,0.0503942723446874,"calsimetaw","dsa",2015,"data/dsa_etrf/calsimetaw-dsa-2015-etrf.geojson","Vineyards","yes"
"APR",18552,246,0.821095919447192,0.869565217391304,0.717391304347826,0.869565217391304,0.695652173913043,0.869565217391304,0.074685080673113,"calsimetaw","dsa",2015,"data/dsa_etrf/calsimetaw-dsa-2015-etrf.geojson","Potatoes","yes"
"APR",17631,277,0.509713740323489,0.5,0.5,0.521739130434783,0.5,0.521739130434783,0.0119340647701761,"calsimetaw","dsa",2015,"data/dsa_etrf/calsimetaw-dsa-2015-etrf.geojson","Cucurbit","yes"
"APR",162942,278,0.516839399360669,0.521739130434798,0.511111111111074,0.521739130434798,0.5,0.533333333333327,0.012451634568687,"calsimetaw","dsa",2015,"data/dsa_etrf/calsimetaw-dsa-2015-etrf.geojson","Tomatoes","yes"
"APR",42837,279,0.588479775736526,0.608695652173912,0.545454545454527,0.622222222222223,0.5,0.630434782608696,0.0476573964879392,"calsimetaw","dsa",2015,"data/dsa_etrf/calsimetaw-dsa-2015-etrf.geojson","Truck Crops","yes"
"APR",9358,403,0.604350543355064,0.58695652173913,0.58695652173913,0.636363636363636,0.58695652173913,0.636363636363636,0.0215525656676978,"calsimetaw","dsa",2015,"data/dsa_etrf/calsimetaw-dsa-2015-etrf.geojson","Cherries","yes"
"APR",6496,409,0.758618188200303,0.760869565217391,0.760869565217391,0.760869565217391,0.73913043478261,0.760869565217391,0.00666173988926846,"calsimetaw","dsa",2015,"data/dsa_etrf/calsimetaw-dsa-2015-etrf.geojson","Olives","yes"
"APR",26707,412,0.590446080737664,0.58695652173913,0.58695652173913,0.58695652173914,0.58695652173911,0.60869565217391,0.008965900371239,"calsimetaw","dsa",2015,"data/dsa_etrf/calsimetaw-dsa-2015-etrf.geojson","Pears","yes"
"APR",34,425,0.79549071275414,0.772727272727273,0.739130434782609,0.772727272727273,0.739130434782609,0.934782608695652,0.0722017749542699,"calsimetaw","dsa",2015,"data/dsa_etrf/calsimetaw-dsa-2015-etrf.geojson","Citrus","yes"
"APR",22762,500,0.782252050268136,0.782608695652174,0.782608695652149,0.782608695652174,0.782608695652145,0.799999999999991,0.0217639669619496,"calsimetaw","dsa",2015,"data/dsa_etrf/calsimetaw-dsa-2015-etrf.geojson","Almonds","yes"
"APR",687,502,0.87413771280299,0.869565217391304,0.869565217391304,0.886363636363636,0.869565217391304,0.886363636363636,0.0074768295003139,"calsimetaw","dsa",2015,"data/dsa_etrf/calsimetaw-dsa-2015-etrf.geojson","Pistachios","yes"
"APR",15511,503,0.614623608383443,0.608695652173911,0.608695652173911,0.622222222222225,0.608695652173911,0.636363636363636,0.0102239992925765,"calsimetaw","dsa",2015,"data/dsa_etrf/calsimetaw-dsa-2015-etrf.geojson","Walnuts","yes"
"APR",215183,800,0.972969441922348,0.977777777777854,0.97727272727273,0.978260869565217,0.956521739130389,0.978260869565217,0.00924492405924088,"calsimetaw","dsa",2015,"data/dsa_etrf/calsimetaw-dsa-2015-etrf.geojson","Pasture","yes"
"APR",9744,908,0.874810858459656,0.869565217391303,0.869565217391303,0.869565217391303,0.869565217391303,0.891304347826092,0.00924162339226443,"calsimetaw","dsa",2015,"data/dsa_etrf/calsimetaw-dsa-2015-etrf.geojson","Turf","yes"
"APR",215863,913,0.610351547096329,0.608695652173929,0.608695652173929,0.622222222222238,0.586956521739128,0.636363636363619,0.0138837907104957,"calsimetaw","dsa",2015,"data/dsa_etrf/calsimetaw-dsa-2015-etrf.geojson","Semi-agricultural/ROW","yes"
"APR",34538,914,0.613457751485822,0.608695652173918,0.608695652173918,0.613636363636363,0.608695652173918,0.636363636363637,0.0147851637478912,"calsimetaw","dsa",2015,"data/dsa_etrf/calsimetaw-dsa-2015-etrf.geojson","Other Deciduous","yes"
"APR",233116,916,0.51123109808216,0.511111111111103,0.5,0.521739130434794,0.5,0.521739130434794,0.0158590692389258,"calsimetaw","dsa",2015,"data/dsa_etrf/calsimetaw-dsa-2015-etrf.geojson","Fallow","yes"
"APR",8896,2002,0.881116505017336,0.888888888888894,0.869565217391305,0.888888888888894,0.869565217391305,0.891304347826084,0.0102453216804855,"calsimetaw","dsa",2015,"data/dsa_etrf/calsimetaw-dsa-2015-etrf.geojson","Floating Vegetation","no"
"APR",20096,2003,0.970785222150195,0.977777777777779,0.956521739130435,0.978260869565217,0.955555555555555,0.978260869565217,0.0102634368439023,"calsimetaw","dsa",2015,"data/dsa_etrf/calsimetaw-dsa-2015-etrf.geojson","Forage Grass","yes"
"APR",46349,2004,0.879128140130016,0.869565217391318,0.869565217391318,0.891304347826085,0.869565217391318,0.891304347826085,0.0104823887835944,"calsimetaw","dsa",2015,"data/dsa_etrf/calsimetaw-dsa-2015-etrf.geojson","Riparian","no"
"APR",241830,2005,0.512622452562416,0.511111111111105,0.5,0.521739130434779,0.5,0.545454545454529,0.0198809902033169,"calsimetaw","dsa",2015,"data/dsa_etrf/calsimetaw-dsa-2015-etrf.geojson","Upland Herbaceous","no"
"APR",275451,2006,0.843869589911223,0.847826086956492,0.840909090909017,0.847826086956492,0.826086956521791,0.847826086956492,0.00851105967267813,"calsimetaw","dsa",2015,"data/dsa_etrf/calsimetaw-dsa-2015-etrf.geojson","Urban","no"
"APR",263902,2007,1.11107910862337,1.11111111111106,1.10869565217393,1.11363636363622,1.10869565217393,1.13043478260871,0.00918695087901592,"calsimetaw","dsa",2015,"data/dsa_etrf/calsimetaw-dsa-2015-etrf.geojson","Water","no"
"APR",111347,2008,0.972360318963768,0.978113991158227,0.956461039921963,0.978113991158227,0.956461039921963,0.978113991158227,0.00976574678700903,"calsimetaw","dsa",2015,"data/dsa_etrf/calsimetaw-dsa-2015-etrf.geojson","Wet herbaceous/sub irrigated pasture","yes"
"AUG",0,0,NA,NA,NA,NA,NA,NA,NA,"calsimetaw","dsa",2015,"data/dsa_etrf/calsimetaw-dsa-2015-etrf.geojson",NA,"no"
"AUG",360170,1,0.846558360496095,0.903738291791954,0.90095572960069,0.903738291791954,0.887673729459412,0.918748651006131,0.207725149331351,"calsimetaw","dsa",2015,"data/dsa_etrf/calsimetaw-dsa-2015-etrf.geojson","Alfalfa","yes"
"AUG",411960,23,0.540619361952155,0.290322580645148,0.285755262106038,0.837087945096152,0.278688524590146,1.04978531481615,0.315192118412055,"calsimetaw","dsa",2015,"data/dsa_etrf/calsimetaw-dsa-2015-etrf.geojson","Corn","yes"
"AUG",34395,24,0.985477774722391,0.983870967741869,0.983870967741869,0.984126984126985,0.983333333333333,1,0.00513652575524175,"calsimetaw","dsa",2015,"data/dsa_etrf/calsimetaw-dsa-2015-etrf.geojson","Rice","yes"
"AUG",5373,108,0.686714234614589,0.67741935483871,0.67741935483871,0.682539682539683,0.67741935483871,0.688524590163934,0.0468051303962221,"calsimetaw","dsa",2015,"data/dsa_etrf/calsimetaw-dsa-2015-etrf.geojson","Bush Berries","yes"
"AUG",166135,109,0.772636935367421,0.761904761904733,0.746026144138085,0.803278688524629,0.741935483870968,0.806451612903298,0.0264248775768973,"calsimetaw","dsa",2015,"data/dsa_etrf/calsimetaw-dsa-2015-etrf.geojson","Vineyards","yes"
"AUG",18552,246,0.329059904581851,0.0958906559640575,0.0958906559640575,0.903849453994483,0.0958906559640575,0.903849453994483,0.366383803995265,"calsimetaw","dsa",2015,"data/dsa_etrf/calsimetaw-dsa-2015-etrf.geojson","Potatoes","yes"
"AUG",17631,277,0.524136650989066,0.129032258064516,0.126984126984127,0.951447014376177,0.112903225806454,0.951447014376177,0.410067557373741,"calsimetaw","dsa",2015,"data/dsa_etrf/calsimetaw-dsa-2015-etrf.geojson","Cucurbit","yes"
