"month","count","level_2","mean","median","p25","p75","p9","p91","model","region","wateryear","source","cropname","include","num_days","crop_acft"
"APR",60,0,129,129,129,129,129,129,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson",NA,"no",30,16.9422587114436
"APR",360625,1,40.9096596187175,42,42,43,41,43,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson","Alfalfa","yes",30,32293.2715909339
"APR",412946,23,23.7044480392109,23,23,24,23,24,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson","Corn","yes",30,21426.6097327627
"APR",34440,24,23.5062717770035,23,23,24,23,24,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson","Rice","yes",30,1772.05519294592
"APR",5373,108,24.964265773311,25,25,25,25,25,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson","Bush Berries","yes",30,293.606716762541
"APR",166310,109,30.80659010282,30,29,34,29,34,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson","Vineyards","yes",30,11214.8208968467
"APR",18552,246,37.7155023717119,40,33,40,32,40,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson","Potatoes","yes",30,1531.58456535913
"APR",17718,277,23.8317530195282,23,23,24,23,24,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson","Cucurbit","yes",30,924.274636067929
"APR",163278,278,23.7052511667218,23,23,24,23,24,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson","Tomatoes","yes",30,8472.32450730532
"APR",42931,279,27.114322983392,28,24,28,23,29,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson","Truck Crops","yes",30,2548.0040751631
"APR",9362,403,27.4701986754967,27,27,28,27,28,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson","Cherries","yes",30,562.938285061269
"APR",6521,409,35.2133108418954,35,35,35,34,35,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson","Olives","yes",30,502.633475306712
"APR",26707,412,27.1605197139327,27,27,27,27,28,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson","Pears","yes",30,1587.79171254162
"APR",34,425,35.9117647058824,34,34,35,34,43,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson","Citrus","yes",30,2.67267414556494
"APR",23360,500,38.2109589041096,36,36,36,36,36,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson","Almonds","yes",30,1953.84956897988
"APR",687,502,39.7278020378457,40,39,40,39,40,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson","Pistachios","yes",30,59.742256719823
"APR",15578,503,28.4315701630505,28,28,28,28,28,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson","Walnuts","yes",30,969.489015388805
"APR",216008,800,44.439756860857,44,44,45,43,45,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson","Pasture","yes",30,21012.2160937836
"APR",9744,908,40.2201354679803,40,40,40,40,41,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson","Turf","yes",30,857.849599523037
"APR",217775,913,28.6748249339915,28,28,28,27,28,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson","Semi-agricultural/ROW","yes",30,13669.0756182175
"APR",34610,914,28.1290956370991,28,28,28,27,28,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson","Other Deciduous","yes",30,2131.02094108637
"APR",233573,916,23.532844121538,23,23,24,23,24,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson","Fallow","yes",30,12031.7113820275
"APR",15889,2002,79.2414878217635,41,40,129,40,129,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson","Floating Vegetation","no",30,2756.00204021962
"APR",20181,2003,44.4719290421684,44,44,45,43,45,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson","Forage Grass","yes",30,1964.53150987288
"APR",97484,2004,86.8106458495753,129,40,129,40,129,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson","Riparian","no",30,18524.0812328346
"APR",244203,2005,24.246700490985,23,23,24,23,24,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson","Upland Herbaceous","no",30,12960.8651259337
"APR",279757,2006,39.6727695821731,38,38,39,37,39,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson","Urban","no",30,24294.2687002266
"APR",270486,2007,52.1448725627204,50,50,51,49,51,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson","Water","no",30,30873.5628450504
"APR",111893,2008,44.8992340897107,45,44,45,44,45,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson","Wet herbaceous/sub irrigated pasture","yes",30,10996.9487032311
"AUG",60,0,129,129,129,129,129,129,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson",NA,"no",31,17.5070006684917
"AUG",360625,1,51.9414405545927,55,54,56,53,57,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson","Alfalfa","yes",31,42368.2580356297
"AUG",412946,23,33.2094729092908,18,18,51,17,63,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson","Corn","yes",31,31018.8743799105
"AUG",34440,24,61.0540069686411,61,61,62,59,62,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson","Rice","yes",31,4756.06851494025
"AUG",5373,108,42.7204541224642,42,42,43,42,43,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson","Bush Berries","yes",31,519.186616594778
"AUG",166310,109,48.1898923696711,48,47,50,46,50,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson","Vineyards","yes",31,18127.8002693283
"AUG",18552,246,20.52156101768,6,6,56,6,57,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson","Potatoes","yes",31,861.136339341795
"AUG",17718,277,32.7318546111299,8,8,59,7,60,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson","Cucurbit","yes",31,1311.76517941694
"AUG",163278,278,21.5212153505065,7,7,47,7,53,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson","Tomatoes","yes",31,7948.13532765381
"AUG",42931,279,54.8362255712655,55,54,55,53,56,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson","Truck Crops","yes",31,5324.87413330049
"AUG",9362,403,64.3921170690024,65,62,66,62,66,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson","Cherries","yes",31,1363.55333023164
"AUG",6521,409,44.15181720595,44,44,44,42,44,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson","Olives","yes",31,651.228758458414
"AUG",26707,412,65.3485977459093,65,65,66,64,66,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson","Pears","yes",31,3947.5911526738
"AUG",34,425,45,42,40,44,40,58,"calsimetaw","dsa",2015,"data/dsa_legal/calsimetaw-dsa-2015.geojson","Citrus","yes",31,3.46068617865534
