system:index,Station_ID,date,imageId,mean,model,region,variable,.geo
,D01,2014-10-1,,2.3845,detaw,,,
,D02,2014-10-1,,3.2263,detaw,,,
,D03,2014-10-1,,3.1425,detaw,,,
,D04,2014-10-1,,3.1725,detaw,,,
,D06,2014-10-1,,2.2305,detaw,,,
,D07,2014-10-1,,3.1031,detaw,,,
,D08,2014-10-1,,2.221,detaw,,,
,D09,2014-10-1,,2.3751,detaw,,,
,D10,2014-10-1,,3.1647,detaw,,,
,D11,2014-10-1,,2.2592,detaw,,,
,D12,2014-10-1,,3.2025,detaw,,,
,D13,2014-10-1,,3.1031,detaw,,,
,D14,2014-10-1,,3.2879,detaw,,,
,D01,2014-10-2,,2.4397,detaw,,,
,D02,2014-10-2,,3.6421,detaw,,,
,D03,2014-10-2,,3.5475,detaw,,,
,D04,2014-10-2,,3.585,detaw,,,
,D06,2014-10-2,,2.3059,detaw,,,
,D07,2014-10-2,,3.5035,detaw,,,
,D08,2014-10-2,,2.2939,detaw,,,
,D09,2014-10-2,,2.4278,detaw,,,
,D10,2014-10-2,,3.5728,detaw,,,
,D11,2014-10-2,,2.3328,detaw,,,
,D12,2014-10-2,,3.615,detaw,,,
,D13,2014-10-2,,3.5035,detaw,,,
,D14,2014-10-2,,3.7114,detaw,,,
,D01,2014-10-3,,2.3368,detaw,,,
,D02,2014-10-3,,3.8115,detaw,,,
,D03,2014-10-3,,3.7125,detaw,,,
,D04,2014-10-3,,3.75,detaw,,,
,D06,2014-10-3,,2.2271,detaw,,,
,D07,2014-10-3,,3.6652,detaw,,,
,D08,2014-10-3,,2.2167,detaw,,,
,D09,2014-10-3,,2.3309,detaw,,,
,D10,2014-10-3,,3.7422,detaw,,,
,D11,2014-10-3,,2.2548,detaw,,,
,D12,2014-10-3,,3.78,detaw,,,
,D13,2014-10-3,,3.6652,detaw,,,
,D14,2014-10-3,,3.8808,detaw,,,
,D01,2014-10-4,,2.1902,detaw,,,
,D02,2014-10-4,,3.85,detaw,,,
,D03,2014-10-4,,3.75,detaw,,,
,D04,2014-10-4,,3.7875,detaw,,,
,D06,2014-10-4,,2.0995,detaw,,,
,D07,2014-10-4,,3.7037,detaw,,,
,D08,2014-10-4,,2.09,detaw,,,
,D09,2014-10-4,,2.1846,detaw,,,
,D10,2014-10-4,,3.7807,detaw,,,
,D11,2014-10-4,,2.1248,detaw,,,
