system:index,Station_ID,date,imageId,mean,model,region,variable,.geo
2014-05-30_4,D12,2014-05-30T00:00:00,2014-05-30,-2319.505366492146,disalexi,3x3,et,
2014-05-30_5,D14,2014-05-30T00:00:00,2014-05-30,0.1151832460732984,disalexi,3x3,et,
2014-05-30_8,D04,2014-05-30T00:00:00,2014-05-30,6.432286212914484,disalexi,3x3,et,
2014-05-30_9,D06,2014-05-30T00:00:00,2014-05-30,7.201527050610817,disalexi,3x3,et,
2014-05-30_11,D10,2014-05-30T00:00:00,2014-05-30,4.86265270506108,disalexi,3x3,et,
2014-05-30_10,D09,2014-05-30T00:00:00,2014-05-30,3.522207678883071,disalexi,3x3,et,
2014-05-30_12,D13,2014-05-30T00:00:00,2014-05-30,-3276.8,disalexi,3x3,et,
2014-05-30_13,D01,2014-05-30T00:00:00,2014-05-30,4.5554973821989515,disalexi,3x3,et,
2014-05-30_14,D05,2014-05-30T00:00:00,2014-05-30,1.4641797556719018,disalexi,3x3,et,
2014-05-30_6,D07,2014-05-30T00:00:00,2014-05-30,4.686125654450262,disalexi,3x3,et,
2014-05-30_7,D08,2014-05-30T00:00:00,2014-05-30,4.227792321116928,disalexi,3x3,et,
2014-05-30_2,D03,2014-05-30T00:00:00,2014-05-30,-3276.8,disalexi,3x3,et,
2014-05-30_3,D11,2014-05-30T00:00:00,2014-05-30,-3276.8,disalexi,3x3,et,
2014-05-30_1,D02,2014-05-30T00:00:00,2014-05-30,-3276.8,disalexi,3x3,et,
2014-05-31_4,D12,2014-05-31T00:00:00,2014-05-31,2.962521815008725,disalexi,3x3,et,
2014-05-31_5,D14,2014-05-31T00:00:00,2014-05-31,-0.03202443280977313,disalexi,3x3,et,
2014-05-31_8,D04,2014-05-31T00:00:00,2014-05-31,6.122513089005235,disalexi,3x3,et,
2014-05-31_9,D06,2014-05-31T00:00:00,2014-05-31,6.841797556719022,disalexi,3x3,et,
2014-05-31_11,D10,2014-05-31T00:00:00,2014-05-31,4.589048865619546,disalexi,3x3,et,
2014-05-31_10,D09,2014-05-31T00:00:00,2014-05-31,3.2152705061082014,disalexi,3x3,et,
2014-05-31_12,D13,2014-05-31T00:00:00,2014-05-31,4.591361256544502,disalexi,3x3,et,
2014-05-31_13,D01,2014-05-31T00:00:00,2014-05-31,4.4374781849912734,disalexi,3x3,et,
2014-05-31_14,D05,2014-05-31T00:00:00,2014-05-31,1.3864310645724256,disalexi,3x3,et,
2014-05-31_6,D07,2014-05-31T00:00:00,2014-05-31,4.419458987783594,disalexi,3x3,et,
2014-05-31_7,D08,2014-05-31T00:00:00,2014-05-31,4.056937172774868,disalexi,3x3,et,
2014-05-31_2,D03,2014-05-31T00:00:00,2014-05-31,4.086343804537521,disalexi,3x3,et,
