system:index,Station_ID,date,imageId,mean,model,region,variable,.geo
2015-09-30_4,D12,2015-09-30T00:00:00,2015-09-30,1.416318181818182,sims,3x3,et,
2015-09-30_5,D14,2015-09-30T00:00:00,2015-09-30,1.822144725370532,sims,3x3,et,
2015-09-30_8,D04,2015-09-30T00:00:00,2015-09-30,1.4722004357298473,sims,3x3,et,
2015-09-30_9,D06,2015-09-30T00:00:00,2015-09-30,1.2643417611159544,sims,3x3,et,
2015-09-30_11,D10,2015-09-30T00:00:00,2015-09-30,1.2640052356020943,sims,3x3,et,
2015-09-30_10,D09,2015-09-30T00:00:00,2015-09-30,0.6496945898778359,sims,3x3,et,
2015-09-30_12,D13,2015-09-30T00:00:00,2015-09-30,1.8331301697866782,sims,3x3,et,
2015-09-30_13,D01,2015-09-30T00:00:00,2015-09-30,0.5253594771241828,sims,3x3,et,
2015-09-30_14,D05,2015-09-30T00:00:00,2015-09-30,1.8480979449059907,sims,3x3,et,
2015-09-30_6,D07,2015-09-30T00:00:00,2015-09-30,1.3286399302528336,sims,3x3,et,
2015-09-30_7,D08,2015-09-30T00:00:00,2015-09-30,0.7884248751702222,sims,3x3,et,
2015-09-30_2,D03,2015-09-30T00:00:00,2015-09-30,1.7058797909407666,sims,3x3,et,
2015-09-30_3,D11,2015-09-30T00:00:00,2015-09-30,0.6110723626852661,sims,3x3,et,
2015-09-30_1,D02,2015-09-30T00:00:00,2015-09-30,1.9241484716157202,sims,3x3,et,
2015-10-01_4,D12,2015-10-01T00:00:00,2015-10-01,1.91,sims,3x3,et,
2015-10-01_5,D14,2015-10-01T00:00:00,2015-10-01,2.488840453356582,sims,3x3,et,
2015-10-01_8,D04,2015-10-01T00:00:00,2015-10-01,2.027755991285403,sims,3x3,et,
2015-10-01_9,D06,2015-10-01T00:00:00,2015-10-01,1.8225806451612905,sims,3x3,et,
2015-10-01_11,D10,2015-10-01T00:00:00,2015-10-01,1.745157068062827,sims,3x3,et,
2015-10-01_10,D09,2015-10-01T00:00:00,2015-10-01,0.9052792321116928,sims,3x3,et,
2015-10-01_12,D13,2015-10-01T00:00:00,2015-10-01,2.2052242054854156,sims,3x3,et,
2015-10-01_13,D01,2015-10-01T00:00:00,2015-10-01,0.636470588235294,sims,3x3,et,
2015-10-01_14,D05,2015-10-01T00:00:00,2015-10-01,1.980411018801924,sims,3x3,et,
2015-10-01_6,D07,2015-10-01T00:00:00,2015-10-01,1.7530950305143855,sims,3x3,et,
2015-10-01_7,D08,2015-10-01T00:00:00,2015-10-01,1.0332728098048116,sims,3x3,et,
2015-10-01_2,D03,2015-10-01T00:00:00,2015-10-01,2.177831010452962,sims,3x3,et,
2015-10-01_3,D11,2015-10-01T00:00:00,2015-10-01,0.8145161290322582,sims,3x3,et,
2015-10-01_1,D02,2015-10-01T00:00:00,2015-10-01,2.4441048034934494,sims,3x3,et,
2015-10-02_4,D12,2015-10-02T00:00:00,2015-10-02,3.3237272727272735,sims,3x3,et,
2015-10-02_5,D14,2015-10-02T00:00:00,2015-10-02,4.288753269398431,sims,3x3,et,
2015-10-02_8,D04,2015-10-02T00:00:00,2015-10-02,3.2916339869281046,sims,3x3,et,
2015-10-02_9,D06,2015-10-02T00:00:00,2015-10-02,2.834829991281605,sims,3x3,et,
2015-10-02_11,D10,2015-10-02T00:00:00,2015-10-02,2.760209424083769,sims,3x3,et,
2015-10-02_10,D09,2015-10-02T00:00:00,2015-10-02,1.437041884816754,sims,3x3,et,
2015-10-02_12,D13,2015-10-02T00:00:00,2015-10-02,3.7523726599912925,sims,3x3,et,
2015-10-02_13,D01,2015-10-02T00:00:00,2015-10-02,1.1003485838779958,sims,3x3,et,
2015-10-02_14,D05,2015-10-02T00:00:00,2015-10-02,3.3573677306515095,sims,3x3,et,
2015-10-02_6,D07,2015-10-02T00:00:00,2015-10-02,2.9374455100261554,sims,3x3,et,
2015-10-02_7,D08,2015-10-02T00:00:00,2015-10-02,1.8101225601452562,sims,3x3,et,
2015-10-02_2,D03,2015-10-02T00:00:00,2015-10-02,3.778179442508711,sims,3x3,et,
2015-10-02_3,D11,2015-10-02T00:00:00,2015-10-02,1.4034437663469923,sims,3x3,et,
