system:index,Station_ID,date,imageId,mean,model,region,variable,.geo
1_2014-10-01_4,D12,2014-10-01T00:00:00,1_2014-10-01,5.395995402298849,ucdpt,3x3,et,
1_2014-10-01_5,D14,2014-10-01T00:00:00,1_2014-10-01,2.208585720782174,ucdpt,3x3,et,
1_2014-10-01_8,D04,2014-10-01T00:00:00,1_2014-10-01,4.129339746392653,ucdpt,3x3,et,
1_2014-10-01_9,D06,2014-10-01T00:00:00,1_2014-10-01,1.5264300983326207,ucdpt,3x3,et,
1_2014-10-01_11,D10,2014-10-01T00:00:00,1_2014-10-01,2.227580718508413,ucdpt,3x3,et,
1_2014-10-01_10,D09,2014-10-01T00:00:00,1_2014-10-01,2.37896662094193,ucdpt,3x3,et,
1_2014-10-01_12,D13,2014-10-01T00:00:00,1_2014-10-01,1.7192510031208206,ucdpt,3x3,et,
1_2014-10-01_13,D01,2014-10-01T00:00:00,1_2014-10-01,2.2379477124183014,ucdpt,3x3,et,
1_2014-10-01_14,D05,2014-10-01T00:00:00,1_2014-10-01,2.92,ucdpt,3x3,et,
1_2014-10-01_6,D07,2014-10-01T00:00:00,1_2014-10-01,2.137782705099778,ucdpt,3x3,et,
1_2014-10-01_7,D08,2014-10-01T00:00:00,1_2014-10-01,3.3946629927935565,ucdpt,3x3,et,
1_2014-10-01_2,D03,2014-10-01T00:00:00,1_2014-10-01,5.1869798657718125,ucdpt,3x3,et,
1_2014-10-01_3,D11,2014-10-01T00:00:00,1_2014-10-01,2.5811468901632115,ucdpt,3x3,et,
1_2014-10-01_1,D02,2014-10-01T00:00:00,1_2014-10-01,2.7769004019651633,ucdpt,3x3,et,
1_2014-10-02_4,D12,2014-10-02T00:00:00,1_2014-10-02,3.507940229885057,ucdpt,3x3,et,
1_2014-10-02_5,D14,2014-10-02T00:00:00,1_2014-10-02,1.556948613005912,ucdpt,3x3,et,
1_2014-10-02_8,D04,2014-10-02T00:00:00,1_2014-10-02,2.79257979886314,ucdpt,3x3,et,
1_2014-10-02_9,D06,2014-10-02T00:00:00,1_2014-10-02,1.0315604959384352,ucdpt,3x3,et,
1_2014-10-02_11,D10,2014-10-02T00:00:00,1_2014-10-02,1.5545475216007276,ucdpt,3x3,et,
1_2014-10-02_10,D09,2014-10-02T00:00:00,1_2014-10-02,1.6657338820301784,ucdpt,3x3,et,
1_2014-10-02_12,D13,2014-10-02T00:00:00,1_2014-10-02,1.2079670084707983,ucdpt,3x3,et,
1_2014-10-02_13,D01,2014-10-02T00:00:00,1_2014-10-02,1.5870980392156864,ucdpt,3x3,et,
1_2014-10-02_14,D05,2014-10-02T00:00:00,1_2014-10-02,2.143333333333333,ucdpt,3x3,et,
1_2014-10-02_6,D07,2014-10-02T00:00:00,1_2014-10-02,1.4374323725055431,ucdpt,3x3,et,
