"Crop","Station_ID","count","date","max","mean","min","model","stdDev"
"pasture","D12",9,2014-08-09,3.76384533760796,3.61430860951705,3.36600728382023,"ucdpt",0.144004711412558
"alfalfa","D14",12,2014-08-09,2.72392045501764,2.52536580354039,2.36482920311349,"ucdpt",0.106990432753671
"pasture","D04",11,2014-08-09,4.49113152037592,4.19077253824811,3.8600627043915,"ucdpt",0.242729035888381
"corn","D06",11,2014-08-09,5.5122782507957,5.32838345428759,5.1801316835268,"ucdpt",0.112466689392254
"alfalfa","D10",12,2014-08-09,5.06230761766521,4.80395108176802,4.10266892444537,"ucdpt",0.303204766603528
"corn","D09",11,2014-08-09,4.35287154298129,4.15155853598973,3.97185019713428,"ucdpt",0.111677400530603
"alfalfa","D13",11,2014-08-09,5.47760291555664,5.38562734648935,5.16521746654346,"ucdpt",0.0835060371741833
"corn","D01",10,2014-08-09,5.47808627928189,5.42045918402891,5.11410204325821,"ucdpt",0.102620677579731
"pasture","D05",9,2014-08-09,4.99417534721159,4.73616542224711,4.48999974049968,"ucdpt",0.15281880174891
"alfalfa","D07",10,2014-08-09,4.7495285861291,4.52247489725164,4.39889371990653,"ucdpt",0.115294298878865
"corn","D08",12,2014-08-09,4.25814823117429,3.37180067580336,2.02248777324511,"ucdpt",0.733121488336353
"pasture","D03",11,2014-08-09,4.84475678324786,4.74152661738117,4.63621895517723,"ucdpt",0.0779735486290891
"corn","D11",10,2014-08-09,5.49321282846696,5.19287017993477,4.86738153803023,"ucdpt",0.19468887655134
"alfalfa","D02",11,2014-08-09,5.32149743358586,5.20599688471382,4.76147047463463,"ucdpt",0.150975406940446
"pasture","D12",9,2014-08-25,5.01785925864836,4.53379823829123,4.1198539851345,"ucdpt",0.254792288132233
"alfalfa","D14",12,2014-08-25,4.71097721327773,4.50175656436465,4.29289900388507,"ucdpt",0.142956728171126
"pasture","D04",11,2014-08-25,4.90769243276509,4.72008787938502,4.53563266379849,"ucdpt",0.124173017075724
"corn","D06",11,2014-08-25,4.57628758793932,4.39802168901183,4.17402535707932,"ucdpt",0.118560716831809
"alfalfa","D10",12,2014-08-25,4.11773841426402,3.948978414833,3.88098202090386,"ucdpt",0.073673600714906
"corn","D09",11,2014-08-25,4.68200818574185,4.46001545823942,4.23320216720662,"ucdpt",0.121483318841055
"alfalfa","D13",11,2014-08-25,3.44102818780607,3.3894273601837,3.27353052852304,"ucdpt",0.0602910918093817
"corn","D01",10,2014-08-25,3.76535902673439,3.6385388229252,3.45798023486715,"ucdpt",0.0820448052318901
"pasture","D05",0,2014-08-25,NA,NA,NA,"ucdpt",NA
"alfalfa","D07",10,2014-08-25,4.85157607326609,4.70394593358203,4.58712859099506,"ucdpt",0.0816902153712004
"corn","D08",12,2014-08-25,4.40046331622256,3.87037062812248,2.81749311075734,"ucdpt",0.552408655614182
"pasture","D03",11,2014-08-25,6.23802528754407,5.99664177080795,5.48283630238355,"ucdpt",0.254179443017555
"corn","D11",10,2014-08-25,4.96247255791215,4.61736417736126,4.1116746922333,"ucdpt",0.287513106106609
