Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (mm),qc,Precip (mm),qc,Sol Rad (W/sq.m),qc,Avg Vap Pres (kPa),qc,Max Air Temp (C),qc,Min Air Temp (C),qc,Avg Air Temp (C),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (C),qc,Avg Wind Speed (m/s),qc,Wind Run (km),qc,Avg Soil Temp (C),qc
242,Staten Island,San Joaquin Valley,11/5/2015,309,1.89,H,0.00,R,2,H,0.8,H,19.9, ,4.3, ,8.5,H,92,H,34,H,76, ,4.5, ,1.4,H,120.6,H,15.5,H
242,Staten Island,San Joaquin Valley,11/6/2015,310,2.48, ,0.00, ,88, ,0.9, ,21.5, ,5.4, ,12.7, ,96, ,33, ,59, ,4.9, ,1.0, ,88.6, ,15.1, 
242,Staten Island,San Joaquin Valley,11/7/2015,311,2.26, ,0.00, ,155, ,0.9, ,21.9, ,2.1, ,10.5, ,99, ,38, ,72, ,5.6, ,1.2, ,103.8, ,14.9, 
242,Staten Island,San Joaquin Valley,11/8/2015,312,0.53, ,0.70, ,59, ,1.2, ,14.8, ,3.5, ,9.8, ,99, ,81, ,95, ,9.1, ,2.0, ,169.7, ,14.7, 
242,Staten Island,San Joaquin Valley,11/9/2015,313,0.47, ,2.10,R,27, ,1.1, ,13.2, ,8.9, ,10.6, ,99, ,81, ,88, ,8.7, ,3.2, ,273.2, ,14.4, 
242,Staten Island,San Joaquin Valley,11/10/2015,314,1.65, ,0.30, ,120, ,1.0, ,17.0, ,3.4, ,10.1, ,99, ,54, ,83, ,7.3, ,2.3, ,197.1, ,14.3, 
242,Staten Island,San Joaquin Valley,11/11/2015,315,1.89, ,0.10, ,149, ,0.9, ,17.6, ,-0.6, ,7.8, ,99, ,56, ,86, ,5.7, ,1.2, ,100.3, ,14.1, 
242,Staten Island,San Joaquin Valley,11/12/2015,316,2.08, ,0.10, ,150, ,0.9, ,18.7, ,-0.3, ,7.9, ,100, ,46, ,83, ,5.1, ,1.4, ,120.3, ,13.8, 
242,Staten Island,San Joaquin Valley,11/13/2015,317,1.92, ,0.10, ,144, ,0.9, ,20.8, ,1.4, ,9.5, ,99, ,47, ,80, ,6.2, ,1.0, ,85.4, ,13.5, 
242,Staten Island,San Joaquin Valley,11/14/2015,318,1.83,R,0.10, ,140, ,1.0, ,21.0, ,0.8, ,9.8, ,100, ,54, ,84, ,7.3, ,1.0, ,86.2, ,13.3, 
242,Staten Island,San Joaquin Valley,11/15/2015,319,2.05, ,3.30, ,110, ,1.0, ,16.8, ,4.3, ,10.4, ,99, ,49, ,77, ,6.6, ,3.9, ,332.9, ,13.4, 
242,Staten Island,San Joaquin Valley,11/16/2015,320,3.66, ,0.00, ,148, ,0.6, ,16.2, ,2.9, ,9.3, ,84, ,27, ,50, ,-0.7, ,5.0,Y,434.5,Y,13.3, 
242,Staten Island,San Joaquin Valley,11/17/2015,321,1.92, ,0.00, ,134, ,0.7, ,18.9, ,1.8, ,9.3, ,96, ,37, ,62, ,2.5, ,1.4, ,119.8, ,12.9, 
242,Staten Island,San Joaquin Valley,11/18/2015,322,1.90, ,0.00, ,134, ,1.0, ,20.7, ,0.8, ,9.1, ,99, ,50, ,82, ,6.3, ,1.4, ,118.5, ,12.7, 
242,Staten Island,San Joaquin Valley,11/19/2015,323,1.85, ,0.00, ,135, ,1.0, ,20.4, ,1.8, ,10.6, ,99, ,52, ,81, ,7.4, ,1.2, ,102.1, ,12.7, 
242,Staten Island,San Joaquin Valley,11/20/2015,324,1.97, ,0.00, ,135, ,1.1, ,23.3, ,2.6, ,12.2, ,100, ,47, ,78, ,8.6, ,1.3, ,115.5, ,12.8, 
242,Staten Island,San Joaquin Valley,11/21/2015,325,1.78, ,0.10, ,120, ,1.1, ,22.0, ,4.1, ,11.4, ,99, ,48, ,81, ,8.2, ,1.2, ,102.4, ,12.9, 
242,Staten Island,San Joaquin Valley,11/22/2015,326,1.36, ,0.10, ,105, ,1.1, ,20.5, ,2.3, ,10.4, ,100, ,56, ,87, ,8.3, ,0.9, ,78.1, ,13.0, 
242,Staten Island,San Joaquin Valley,11/23/2015,327,1.64, ,0.10, ,119, ,1.1, ,19.8, ,2.0, ,10.4, ,99, ,56, ,84, ,7.9, ,1.9, ,161.9, ,13.0, 
242,Staten Island,San Joaquin Valley,11/24/2015,328,1.01, ,2.00, ,62, ,1.0, ,14.6, ,7.1, ,10.1, ,95, ,52, ,80, ,6.7, ,3.7, ,321.0, ,13.0, 
242,Staten Island,San Joaquin Valley,11/25/2015,329,1.79, ,0.00, ,132, ,0.7, ,13.9, ,-0.4, ,5.8, ,99, ,43, ,78, ,2.2, ,1.9, ,167.9, ,12.9, 
242,Staten Island,San Joaquin Valley,11/26/2015,330,2.16, ,0.00, ,131, ,0.6, ,14.0, ,-2.2, ,5.4, ,99, ,36, ,62, ,-1.2, ,2.9, ,249.2, ,12.4, 
242,Staten Island,San Joaquin Valley,11/27/2015,331,2.81, ,0.00, ,132, ,0.5, ,15.1, ,-0.1, ,6.6, ,69, ,26, ,48, ,-3.7, ,3.9, ,334.5, ,11.8, 
242,Staten Island,San Joaquin Valley,11/28/2015,332,2.09, ,0.00, ,133, ,0.4, ,15.0, ,-2.4, ,4.9, ,80, ,25, ,52, ,-4.2, ,2.1, ,180.9, ,11.4, 
242,Staten Island,San Joaquin Valley,11/29/2015,333,1.78, ,0.00, ,131, ,0.5, ,16.5, ,-5.3,Y,4.1, ,92, ,28, ,60, ,-2.9, ,1.5, ,128.2, ,10.9, 
242,Staten Island,San Joaquin Valley,11/30/2015,334,1.01, ,0.00, ,70, ,0.6, ,12.0, ,-4.5, ,4.4, ,99, ,50, ,71, ,-0.3, ,1.9, ,163.2, ,10.4, 
242,Staten Island,San Joaquin Valley,12/1/2015,335,1.61, ,0.00, ,123, ,0.7, ,17.3, ,-1.7, ,6.4, ,93, ,39, ,68, ,0.9, ,1.2, ,102.0, ,10.3, 
242,Staten Island,San Joaquin Valley,12/2/2015,336,1.06, ,0.00, ,73, ,0.8, ,16.8, ,2.4, ,8.7, ,92, ,44, ,72, ,4.0, ,1.4, ,122.3, ,10.4, 
242,Staten Island,San Joaquin Valley,12/3/2015,337,0.43, ,8.70, ,36, ,1.0, ,14.5, ,1.4, ,8.1, ,97, ,60, ,89, ,6.4, ,2.6, ,228.4, ,10.6, 
242,Staten Island,San Joaquin Valley,12/4/2015,338,1.50, ,0.00, ,119, ,1.0, ,17.3, ,1.7, ,8.4, ,100, ,57, ,87, ,6.4, ,1.2, ,100.8, ,10.8, 
242,Staten Island,San Joaquin Valley,12/5/2015,339,0.66, ,0.10, ,71, ,0.9, ,12.7, ,0.5, ,6.2, ,99, ,80, ,96, ,5.6, ,1.1, ,91.8, ,10.8, 
242,Staten Island,San Joaquin Valley,12/6/2015,340,0.82, ,0.00, ,61, ,1.2, ,19.8, ,6.5, ,12.0, ,98, ,57, ,83, ,9.1, ,1.8, ,153.4, ,10.9, 
242,Staten Island,San Joaquin Valley,12/7/2015,341,0.61, ,0.00, ,59, ,1.3, ,17.8, ,7.5, ,11.7, ,99, ,75, ,95, ,10.9, ,1.4, ,116.7, ,11.4, 
242,Staten Island,San Joaquin Valley,12/8/2015,342,0.06, ,0.20, ,26, ,1.2, ,12.1, ,5.7, ,10.2, ,99, ,99, ,100, ,10.2, ,1.3, ,108.9, ,11.9, 
242,Staten Island,San Joaquin Valley,12/9/2015,343,0.59, ,0.10, ,56, ,1.4, ,17.8, ,10.8, ,12.8, ,99, ,76, ,94, ,11.8, ,2.6, ,222.0, ,12.2, 
242,Staten Island,San Joaquin Valley,12/10/2015,344,1.30, ,4.70, ,78, ,1.2, ,17.6, ,9.7, ,12.6, ,98, ,58, ,83, ,9.7, ,4.1, ,358.5, ,12.6, 
242,Staten Island,San Joaquin Valley,12/11/2015,345,1.41, ,2.40, ,107, ,1.0, ,16.1, ,4.1, ,9.5, ,99, ,61, ,84, ,6.9, ,2.2, ,189.6, ,12.7, 
242,Staten Island,San Joaquin Valley,12/12/2015,346,1.14, ,0.00, ,98, ,0.9, ,15.5, ,0.9, ,8.7, ,100, ,58, ,82, ,5.8, ,1.5, ,131.8, ,12.5, 
242,Staten Island,San Joaquin Valley,12/13/2015,347,1.26, ,7.20, ,59, ,0.9, ,13.7, ,4.0, ,9.6, ,96, ,63, ,79, ,6.2, ,5.6,Y,481.0,Y,12.3, 
242,Staten Island,San Joaquin Valley,12/14/2015,348,2.24, ,0.00, ,121, ,0.6, ,13.7, ,0.9, ,6.3, ,90, ,39, ,67, ,0.7, ,3.7, ,315.4, ,12.0, 
242,Staten Island,San Joaquin Valley,12/15/2015,349,2.19, ,0.00, ,122, ,0.6, ,14.4, ,1.1, ,6.5, ,84, ,34, ,64, ,0.1, ,3.5, ,304.3, ,11.4, 
242,Staten Island,San Joaquin Valley,12/16/2015,350,1.31, ,0.00, ,118, ,0.6, ,13.6, ,-2.5, ,3.9, ,98, ,48, ,79, ,0.5, ,1.2, ,104.7, ,10.9, 
242,Staten Island,San Joaquin Valley,12/17/2015,351,1.23, ,0.00, ,98, ,0.7, ,13.6, ,-1.3, ,5.6, ,99, ,51, ,81, ,2.6, ,1.5, ,130.9, ,10.5, 
242,Staten Island,San Joaquin Valley,12/18/2015,352,1.60, ,3.00, ,97, ,0.8, ,14.7, ,-1.3, ,7.8, ,98, ,52, ,76, ,3.9, ,2.6, ,226.5, ,10.2, 
242,Staten Island,San Joaquin Valley,12/19/2015,353,0.84, ,2.80, ,74, ,1.0, ,14.2, ,2.9, ,8.6, ,99, ,68, ,92, ,7.4, ,2.4, ,206.6, ,10.4, 
242,Staten Island,San Joaquin Valley,12/20/2015,354,0.64, ,3.40, ,49, ,0.9, ,11.1, ,0.3, ,6.7, ,100, ,73, ,91, ,5.3, ,3.3, ,287.2, ,10.6, 
242,Staten Island,San Joaquin Valley,12/21/2015,355,0.12, ,7.30, ,15, ,1.1, ,10.1, ,8.2, ,9.3, ,99, ,84, ,94, ,8.3, ,6.2,Y,536.1,Y,10.6, 
242,Staten Island,San Joaquin Valley,12/22/2015,356,1.43, ,0.70, ,82, ,1.3,Y,17.2, ,9.8, ,13.2,Y,99, ,75, ,88,Y,11.3,Y,5.9, ,512.8, ,10.8, 
242,Staten Island,San Joaquin Valley,12/23/2015,357,1.68, ,0.00, ,115, ,0.8, ,15.9, ,5.1, ,9.3, ,86, ,45, ,69, ,4.0, ,2.7, ,236.2, ,11.3, 
242,Staten Island,San Joaquin Valley,12/24/2015,358,1.10, ,3.90, ,78, ,0.8, ,12.8, ,1.4, ,7.2, ,96, ,62, ,83, ,4.6, ,3.6, ,310.0, ,11.2, 
242,Staten Island,San Joaquin Valley,12/25/2015,359,1.35, ,0.00, ,116, ,0.7, ,13.4, ,-1.7, ,4.6, ,99, ,53, ,81, ,1.7, ,2.1, ,177.8, ,10.9, 
242,Staten Island,San Joaquin Valley,12/26/2015,360,1.83, ,0.00, ,122, ,0.6, ,13.0, ,-0.8, ,4.9, ,92, ,36, ,67, ,-0.6, ,3.2, ,279.6, ,10.5, 
242,Staten Island,San Joaquin Valley,12/27/2015,361,0.54, ,0.10, ,66, ,0.7, ,8.0, ,-3.8, ,2.7, ,100, ,75, ,92, ,1.4, ,1.4, ,118.3, ,10.0, 
242,Staten Island,San Joaquin Valley,12/28/2015,362,1.32, ,1.40, ,108, ,0.7, ,11.6, ,0.4, ,5.2, ,96, ,60, ,83, ,2.5, ,2.4, ,210.3, ,9.7, 
242,Staten Island,San Joaquin Valley,12/29/2015,363,1.22, ,0.00, ,120, ,0.7, ,11.3, ,-3.0, ,3.5, ,98, ,62, ,85, ,1.3, ,1.2, ,107.3, ,9.5, 
242,Staten Island,San Joaquin Valley,12/30/2015,364,0.87, ,0.00, ,78, ,0.7, ,11.4, ,-3.1, ,3.7, ,99, ,66, ,87, ,1.7, ,1.9, ,160.4, ,9.2, 
242,Staten Island,San Joaquin Valley,12/31/2015,365,1.03, ,0.10, ,94, ,0.6, ,12.4, ,-4.1, ,2.4, ,99, ,46, ,85, ,0.1, ,1.6, ,136.9, ,9.1, 
242,Staten Island,San Joaquin Valley,1/1/2016,001,1.32, ,0.00, ,91, ,0.5, ,10.7, ,-1.0, ,3.2, ,93, ,43, ,65, ,-2.7, ,2.2, ,190.9, ,8.8, 
242,Staten Island,San Joaquin Valley,1/2/2016,002,0.87, ,0.00, ,67, ,0.6, ,11.4, ,1.3, ,4.7, ,90, ,52, ,74, ,0.5, ,1.5, ,131.4, ,8.6, 
242,Staten Island,San Joaquin Valley,1/3/2016,003,1.26, ,0.40, ,91, ,0.7, ,14.8, ,0.3, ,6.8, ,95, ,49, ,76, ,2.8, ,1.7, ,143.9, ,8.7, 
242,Staten Island,San Joaquin Valley,1/4/2016,004,0.75, ,5.40, ,62, ,0.9, ,13.2, ,2.9, ,7.7, ,97, ,77, ,89, ,6.0, ,2.7, ,232.2, ,8.9, 
242,Staten Island,San Joaquin Valley,1/5/2016,005,0.32, ,21.50, ,36, ,1.1, ,12.7, ,7.8, ,9.7, ,98, ,87, ,94, ,8.8, ,4.5,Y,384.7,Y,9.2, 
242,Staten Island,San Joaquin Valley,1/6/2016,006,0.63, ,5.20, ,52, ,1.1, ,12.5, ,7.6, ,9.2, ,97, ,84, ,92, ,8.0, ,5.5,Y,478.1,Y,9.6, 
242,Staten Island,San Joaquin Valley,1/7/2016,007,0.30, ,0.30, ,40, ,1.0, ,12.3, ,2.0, ,7.4, ,99, ,81, ,94, ,6.4, ,1.4, ,124.2, ,9.9, 
242,Staten Island,San Joaquin Valley,1/8/2016,008,0.66, ,0.60, ,74, ,0.9, ,10.8, ,0.4, ,5.6, ,99, ,79, ,96, ,5.1, ,1.3, ,110.2, ,10.0, 
242,Staten Island,San Joaquin Valley,1/9/2016,009,0.60, ,2.40, ,47, ,1.0, ,13.3, ,7.0, ,9.2, ,99, ,71, ,90, ,7.6, ,3.2, ,280.3, ,10.0, 
242,Staten Island,San Joaquin Valley,1/10/2016,010,0.70, ,1.30, ,65, ,1.1, ,14.7, ,5.6, ,9.5, ,99, ,72, ,93, ,8.4, ,1.9, ,163.9, ,10.3, 
242,Staten Island,San Joaquin Valley,1/11/2016,011,1.21, ,0.00, ,98, ,1.0, ,17.0, ,4.7, ,9.5, ,99, ,60, ,87, ,7.3, ,1.5, ,131.9, ,10.5, 
242,Staten Island,San Joaquin Valley,1/12/2016,012,1.12, ,0.10, ,97, ,1.0, ,15.2, ,2.7, ,7.9, ,99, ,74, ,95, ,7.1, ,2.6, ,222.4, ,10.6, 
242,Staten Island,San Joaquin Valley,1/13/2016,013,1.23, ,2.50, ,82, ,1.1, ,16.5, ,4.2, ,10.8, ,98, ,69, ,86, ,8.6, ,4.5, ,392.1, ,10.7, 
242,Staten Island,San Joaquin Valley,1/14/2016,014,0.41, ,2.60, ,41, ,1.0, ,11.2, ,2.1, ,7.9, ,99, ,82, ,93, ,6.9, ,2.9, ,248.4, ,10.8, 
242,Staten Island,San Joaquin Valley,1/15/2016,015,1.12, ,2.80, ,100, ,1.1, ,14.3, ,3.2, ,9.6, ,99, ,72, ,92, ,8.3, ,2.1, ,185.5, ,10.7, 
242,Staten Island,San Joaquin Valley,1/16/2016,016,0.66, ,5.20, ,56, ,1.3, ,15.9, ,7.9, ,11.4, ,99, ,81, ,93, ,10.3, ,3.3, ,282.7, ,10.9, 
242,Staten Island,San Joaquin Valley,1/17/2016,017,0.13, ,12.90, ,20, ,1.3, ,13.3, ,10.3, ,12.0, ,99, ,84, ,93, ,10.9, ,3.4, ,294.7, ,11.2, 
242,Staten Island,San Joaquin Valley,1/18/2016,018,1.40, ,14.30, ,99, ,1.4,Y,18.5, ,10.7, ,13.6,Y,99, ,67, ,88,Y,11.7,Y,2.3, ,199.6, ,11.5, 
242,Staten Island,San Joaquin Valley,1/19/2016,019,0.46, ,24.40, ,43, ,1.4,Y,15.8, ,8.7, ,12.6, ,99, ,90, ,96,Y,12.0,Y,5.5,Y,479.3,Y,11.9, 
242,Staten Island,San Joaquin Valley,1/20/2016,020,1.25, ,0.10, ,106, ,1.2, ,17.2, ,5.6, ,10.4, ,99, ,72, ,94, ,9.4, ,1.4, ,118.0, ,12.1, 
